algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.1760,9550,9
MergeSort,random,10000,1.8805,126862,12
MergeSort,random,100000,9.7275,1640041,15
MergeSort,random,1000000,92.7654,19888586,19
MergeSort,sorted,1000,0.0103,4236,9
MergeSort,sorted,10000,0.1350,59248,12
MergeSort,sorted,100000,1.7082,744016,15
MergeSort,sorted,1000000,21.3393,9071040,19
MergeSort,duplicates,1000,0.0154,9139,9
MergeSort,duplicates,10000,0.3119,121632,12
MergeSort,duplicates,100000,3.6808,1559971,15
MergeSort,duplicates,1000000,43.4312,18928530,19
QuickSort,random,1000,0.1488,17163,6
QuickSort,random,10000,0.6268,235061,10
QuickSort,random,100000,7.6511,3110494,11
QuickSort,random,1000000,82.2820,41601779,12
QuickSort,sorted,1000,0.0281,16753,6
QuickSort,sorted,10000,0.3393,236334,8
QuickSort,sorted,100000,3.7777,2984864,11
QuickSort,sorted,1000000,44.4421,36709981,12
QuickSort,duplicates,1000,0.0129,5256,3
QuickSort,duplicates,10000,0.1230,52111,2
QuickSort,duplicates,100000,1.2158,592180,3
QuickSort,duplicates,1000000,10.4988,5994517,2
QuickSelect,random,1000,0.0105,3887,7
QuickSelect,random,10000,0.1075,57391,19
QuickSelect,random,100000,0.8168,479006,21
QuickSelect,random,1000000,8.7438,4114224,24
QuickSelect,sorted,1000,0.0053,5075,16
QuickSelect,sorted,10000,0.0359,42888,18
QuickSelect,sorted,100000,0.4182,485684,20
QuickSelect,sorted,1000000,4.4145,4748676,31
QuickSelect,duplicates,1000,0.0078,3497,3
QuickSelect,duplicates,10000,0.0763,29028,3
QuickSelect,duplicates,100000,0.8471,389954,4
QuickSelect,duplicates,1000000,6.0428,4601008,3
